Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-128.000000,-66.000000,180.000000,"bottom"
"C15","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-103.000000,-114.000000,-90.000000,"bottom"
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-118.000000,-94.000000,-90.000000,"bottom"
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-98.000000,-105.000000,0.000000,"bottom"
"D12","SW-5V","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-125.000000,-118.000000,180.000000,"bottom"
"D13","SW-3.3V","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-132.000000,-118.000000,180.000000,"bottom"
"D14","SW-1","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-149.000000,-118.000000,180.000000,"bottom"
"D16","SW-2","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-141.000000,-118.000000,180.000000,"bottom"
"D17","IO2","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-98.000000,-82.000000,0.000000,"bottom"
"D18","5V","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-98.000000,-88.000000,0.000000,"bottom"
"D19","3.3V","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-98.000000,-94.000000,0.000000,"bottom"
"J1","Additional Pins","PinHeader_2x10_P2.54mm_Vertical",-148.275000,-78.575000,180.000000,"bottom"
"J2","SW-5V","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-126.000000,-122.550000,180.000000,"bottom"
"J3","SW-1","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-150.000000,-122.550000,180.000000,"bottom"
"J4","SW-3.3V","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-134.000000,-122.550000,180.000000,"bottom"
"J5","SW-2","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",-142.000000,-122.550000,180.000000,"bottom"
"J6","EXT_LED","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",-118.000000,-122.550000,180.000000,"bottom"
"J7","Conn_IN","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",-162.000000,-122.550000,180.000000,"bottom"
"J8","Conn_OUT","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",-108.000000,-122.550000,180.000000,"bottom"
"J9","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",-96.000000,-114.000000,90.000000,"bottom"
"Q1","BSS138","SOT-23",-149.000000,-112.000000,0.000000,"bottom"
"Q2","BSS138","SOT-23",-125.000000,-112.000000,90.000000,"bottom"
"Q3","BSS138","SOT-23",-141.000000,-112.000000,0.000000,"bottom"
"Q4","BSS138","SOT-23",-132.000000,-112.000000,180.000000,"bottom"
"Q5","BC817","SOT-23",-118.000000,-98.000000,0.000000,"bottom"
"Q6","BC817","SOT-23",-118.000000,-106.000000,0.000000,"bottom"
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-115.000000,-102.000000,0.000000,"bottom"
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-113.000000,-109.000000,0.000000,"bottom"
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-161.000000,-99.000000,90.000000,"bottom"
"R5","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-102.512500,-82.000000,180.000000,"bottom"
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-102.512500,-88.000000,180.000000,"bottom"
"R7","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-102.512500,-94.000000,180.000000,"bottom"
"R9","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-161.000000,-110.000000,90.000000,"bottom"
"RN1","10K","R_Array_Convex_4x0603",-102.000000,-73.000000,0.000000,"bottom"
"RN2","1K","R_Array_Convex_4x0603",-136.000000,-114.000000,0.000000,"bottom"
"SW1","PROG","SW_Push_1P1T_NO_6x6mm_H9.5mm",-167.000000,-101.000000,90.000000,"bottom"
"SW2","RST","SW_Push_1P1T_NO_6x6mm_H9.5mm",-167.000000,-112.000000,90.000000,"bottom"
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",-115.000000,-73.000000,180.000000,"bottom"
"U3","AZ1117-3.3","SOT-223",-111.000000,-92.000000,180.000000,"bottom"
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",-106.000000,-104.000000,0.000000,"bottom"
