Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","10uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",223.000000,-67.000000,180.000000,"top"
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",223.000000,-63.500000,0.000000,"top"
"C16","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",258.000000,-117.250000,180.000000,"top"
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",227.000000,-87.750000,90.000000,"top"
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",232.500000,-100.750000,-90.000000,"top"
"D12","SW-5V","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",205.994000,-116.840000,0.000000,"top"
"D13","SW-3.3V","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",213.614000,-117.000000,0.000000,"top"
"D14","SW-1","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",221.000000,-117.000000,0.000000,"top"
"D16","SW-2","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",228.500000,-117.000000,0.000000,"top"
"D17","IO2 LED","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",249.250000,-84.250000,-90.000000,"top"
"D18","5V","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",258.500000,-103.500000,180.000000,"top"
"D19","3.3V","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",258.500000,-99.500000,180.000000,"top"
"J1","SW-5V","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",205.000000,-122.550000,0.000000,"top"
"J2","SW-1","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",220.000000,-122.550000,0.000000,"top"
"J3","Conn_02x12_Odd_Even","PinHeader_2x12_P2.54mm_Vertical",204.719000,-77.719000,0.000000,"top"
"J4","SW-3.3V","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",212.500000,-122.550000,0.000000,"top"
"J5","SW-2","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",227.500000,-122.550000,0.000000,"top"
"J6","EXT_LED","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",235.500000,-122.550000,0.000000,"top"
"J7","Conn_IN","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",193.000000,-122.550000,0.000000,"top"
"J8","Conn_OUT","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",245.000000,-122.550000,0.000000,"top"
"J9","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",258.064000,-110.744000,90.000000,"top"
"Q1","BSS138","SOT-23",221.000000,-112.500000,0.000000,"top"
"Q2","BSS138","SOT-23",206.000000,-112.500000,0.000000,"top"
"Q3","BSS138","SOT-23",228.500000,-112.500000,0.000000,"top"
"Q4","BSS138","SOT-23",213.500000,-112.500000,0.000000,"top"
"Q5","BC817","SOT-23",245.000000,-91.500000,90.000000,"top"
"Q6","BC817","SOT-23",252.500000,-91.500000,-90.000000,"top"
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",245.000000,-95.750000,90.000000,"top"
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",250.000000,-95.750000,-90.000000,"top"
"R3","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",258.000000,-62.000000,0.000000,"top"
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",245.750000,-84.250000,-90.000000,"top"
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",250.000000,-103.500000,0.000000,"top"
"R6","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",250.000000,-99.500000,0.000000,"top"
"R7","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",258.500000,-91.500000,90.000000,"top"
"RN1","10K","R_Array_Convex_4x0603",219.000000,-103.000000,90.000000,"top"
"RN2","1K","R_Array_Convex_4x0603",219.000000,-107.500000,90.000000,"top"
"SW1","PROG","SW_Push_1P1T_NO_6x6mm_H9.5mm",258.250000,-69.250000,90.000000,"top"
"SW2","RST","SW_Push_1P1T_NO_6x6mm_H9.5mm",258.250000,-83.250000,90.000000,"top"
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",240.030000,-71.036000,0.000000,"top"
"U3","AZ1117-3.3","SOT-223",219.500000,-89.250000,180.000000,"top"
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",239.000000,-103.000000,0.000000,"top"
